City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Sur,OM,79.66,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
11,Tucuman,AR,75.2,broken clouds,-26.8241,-65.2226,Hotel Premier
18,Tucurui,BR,89.47,broken clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
20,Pamanukan,ID,78.31,few clouds,-6.2842,107.8106,Paris Day Hotel Pamanukan
22,Kapaa,US,82.38,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
24,Iquitos,PE,86.04,moderate rain,-3.7481,-73.2472,Cortez Malaga Techy Caroly
26,Kupang,ID,80.13,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
28,Clarksdale,US,77.92,clear sky,34.2001,-90.5709,Americas Best Value Inn & Suites Clarksdale
31,Atuona,PF,76.37,clear sky,-9.8,-139.0333,Villa Enata
38,Fare,PF,78.58,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
41,Hithadhoo,MV,81.0,overcast clouds,-0.6,73.0833,Scoop Guest House
46,Hobyo,SO,78.12,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
47,Avarua,CK,78.85,broken clouds,-21.2078,-159.775,Paradise Inn
48,Pedro Juan Caballero,PY,85.96,scattered clouds,-22.5472,-55.7333,Hotel Pousada do Bosque
54,Tazmalt,DZ,76.95,broken clouds,36.3868,4.3989,Hôtel Numédia
57,Sao Filipe,CV,76.77,scattered clouds,14.8961,-24.4956,Hotel Xaguate
58,Coahuayana,MX,87.94,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
59,Vaini,TO,77.16,broken clouds,-21.2,-175.2,Keleti Beach Resort
63,Tual,ID,82.42,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
64,Bengkulu,ID,75.4,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
71,Santa Clarita,US,81.93,few clouds,34.3917,-118.5426,Hyatt Regency Valencia
73,Neiafu,TO,79.48,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
74,Georgetown,MY,77.95,few clouds,5.4112,100.3354,Cititel Penang
79,Marsh Harbour,BS,80.76,clear sky,26.5412,-77.0636,Abaco Beach Resort
83,Kahului,US,86.02,clear sky,20.8947,-156.47,Maui Seaside Hotel
86,Amalapuram,IN,76.05,scattered clouds,16.5833,82.0167,swayamprabha service apartments
97,Cayenne,GF,89.64,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
101,Panaba,MX,86.97,light rain,21.2833,-88.2667,Hotel Don Fernando
105,Cabo San Lucas,MX,86.18,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
106,Sidi Ali,DZ,76.17,overcast clouds,36.0998,0.4206,Khaled
111,Princeton,US,87.03,few clouds,25.5384,-80.4089,American Best Inn
112,Cabedelo,BR,83.07,few clouds,-6.9811,-34.8339,Pousada Camboinha
115,Aitape,PG,76.46,broken clouds,-3.1374,142.3475,
116,Buluang,PH,78.62,overcast clouds,13.3068,123.3425,Sacueza Beach Resort
121,Guerrero Negro,MX,75.24,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
128,Alofi,NU,78.69,few clouds,-19.0595,-169.9187,Taloa Heights
129,Tambacounda,SN,83.05,broken clouds,13.7539,-13.7586,
132,Naze,JP,77.92,overcast clouds,28.3667,129.4833,Shishime Hotel
134,Rafaela,AR,77.0,clear sky,-31.2503,-61.4867,Parra Hotel & Suites
139,Andros Town,BS,84.16,few clouds,24.7,-77.7667,Hanks place
146,Vila Velha,BR,76.95,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
150,Carutapera,BR,83.91,scattered clouds,-1.195,-46.02,Lidera
151,Arlit,NE,89.71,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
165,Bilma,NE,83.1,clear sky,18.6853,12.9164,Expeditions Ténére voyages
168,Butaritari,KI,81.68,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
170,Pangai,TO,78.91,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
174,Faanui,PF,78.94,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
175,Lompoc,US,75.69,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
180,Birao,CF,75.42,overcast clouds,10.2849,22.7882,
185,Kutum,SD,78.71,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
187,Moa,CU,83.61,light rain,20.6569,-74.9403,Carmen
188,Bonoua,CI,80.22,overcast clouds,5.2741,-3.595,Hotel Bon Samaritian
193,Touros,BR,78.46,clear sky,-5.1989,-35.4608,INN NEW HORIZON
195,Ambulu,ID,75.63,moderate rain,-8.345,113.6058,Hotel Ambulu Jember
196,Honolulu,US,83.28,few clouds,21.3069,-157.8583,Aston at the Executive Centre Hotel
199,Mana,GF,82.99,overcast clouds,5.6592,-53.7767,LE SAMANA
205,Meulaboh,ID,75.36,overcast clouds,4.1363,96.1285,Kost Pria
206,Nador,MA,75.45,clear sky,35.174,-2.9287,Hôtel La Giralda
