City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Sur,OM,22.5667,59.5289,79.66,43,99,7.11,overcast clouds
1,Severo-Kurilsk,RU,50.6789,156.125,42.28,71,100,9.46,overcast clouds
2,Carnarvon,AU,-24.8667,113.6333,65.5,60,46,21.43,scattered clouds
3,Balkhash,KZ,46.844,74.9804,53.01,58,100,10.02,overcast clouds
4,Punta Arenas,CL,-53.15,-70.9167,60.91,33,0,25.32,clear sky
5,Dekar,BW,-21.5333,21.9333,71.8,47,100,10.02,overcast clouds
6,Bredasdorp,ZA,-34.5322,20.0403,62.71,87,19,7.43,few clouds
7,Ushuaia,AR,-54.8,-68.3,49.66,40,0,4.61,clear sky
8,Mataura,NZ,-46.1927,168.8643,48.58,77,75,3.98,broken clouds
9,Ust-Nera,RU,64.5667,143.2,0.25,99,87,3.62,overcast clouds
10,Hasaki,JP,35.7333,140.8333,67.21,85,100,9.26,overcast clouds
11,Tucuman,AR,-26.8241,-65.2226,75.2,46,75,11.5,broken clouds
12,Qaanaaq,GL,77.484,-69.3632,25.3,92,96,5.88,light snow
13,Batemans Bay,AU,-35.7167,150.1833,56.1,89,100,4.14,overcast clouds
14,Rikitea,PF,-23.1203,-134.9692,68.45,63,99,20.02,overcast clouds
15,Sitka,US,57.0531,-135.33,57.09,94,100,8.05,mist
16,Laguna,US,38.421,-121.4238,73.35,58,20,11.5,few clouds
17,Rawson,AR,-43.3002,-65.1023,51.89,73,43,15.23,scattered clouds
18,Tucurui,BR,-3.7661,-49.6725,89.47,50,84,3.65,broken clouds
19,Busselton,AU,-33.65,115.3333,53.17,81,57,8.84,broken clouds
20,Pamanukan,ID,-6.2842,107.8106,78.31,84,20,3.67,few clouds
21,Margate,GB,51.3813,1.3862,60.31,87,100,4.0,overcast clouds
22,Kapaa,US,22.0752,-159.319,82.38,63,20,8.05,few clouds
23,Hermanus,ZA,-34.4187,19.2345,66.79,88,5,6.98,light rain
24,Iquitos,PE,-3.7481,-73.2472,86.04,74,75,6.91,moderate rain
25,Guangshui,CN,31.6199,113.9978,59.5,65,5,8.41,clear sky
26,Kupang,ID,-10.1667,123.5833,80.13,82,52,5.55,broken clouds
27,Kruisfontein,ZA,-34.0033,24.7314,69.89,74,100,11.05,overcast clouds
28,Clarksdale,US,34.2001,-90.5709,77.92,57,0,0.0,clear sky
29,Khatanga,RU,71.9667,102.5,13.64,95,100,9.1,overcast clouds
30,Bowen,AU,-20.0167,148.2333,74.77,77,100,4.61,overcast clouds
31,Atuona,PF,-9.8,-139.0333,76.37,73,5,11.01,clear sky
32,Ostrovnoy,RU,68.0531,39.5131,46.72,92,100,21.47,light rain
33,Chuy,UY,-33.6971,-53.4616,58.23,94,100,19.66,overcast clouds
34,Norman Wells,CA,65.282,-126.8329,32.04,86,100,10.36,overcast clouds
35,Sibolga,ID,1.7427,98.7792,74.86,85,100,2.95,overcast clouds
36,Thompson,CA,55.7435,-97.8558,28.56,59,20,12.66,few clouds
37,Wanning,CN,18.8003,110.3967,73.08,63,100,7.72,overcast clouds
38,Fare,PF,-16.7,-151.0167,78.58,68,57,14.41,broken clouds
39,Mandalgovi,MN,45.7625,106.2708,25.72,40,0,7.4,clear sky
40,Galdar,ES,28.147,-15.6502,72.1,76,19,8.08,few clouds
41,Hithadhoo,MV,-0.6,73.0833,81.0,67,100,10.38,overcast clouds
42,Nantucket,US,41.2835,-70.0995,68.11,83,0,11.5,clear sky
43,Tuktoyaktuk,CA,69.4541,-133.0374,24.8,86,100,17.27,overcast clouds
44,Kaeng Khoi,TH,14.5862,100.9976,67.95,88,26,4.12,scattered clouds
45,Saint-Augustin,CA,51.226,-58.6502,53.82,68,100,7.07,overcast clouds
46,Hobyo,SO,5.3505,48.5268,78.12,85,72,14.16,broken clouds
47,Avarua,CK,-21.2078,-159.775,78.85,65,75,9.22,broken clouds
48,Pedro Juan Caballero,PY,-22.5472,-55.7333,85.96,48,40,0.0,scattered clouds
49,Mahebourg,MU,-20.4081,57.7,71.89,83,75,6.91,broken clouds
50,Kulu,TR,39.0951,33.0799,53.22,87,100,7.36,overcast clouds
51,Isangel,VU,-19.55,169.2667,73.51,73,2,8.05,clear sky
52,New Norfolk,AU,-42.7826,147.0587,47.91,79,99,1.19,overcast clouds
