City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cabo San Lucas,MX,2022-10-13 00:28:27,22.8909,-109.9124,87.51,57,0,6.91
1,Mar Del Plata,AR,2022-10-13 00:25:49,-38.0023,-57.5575,57.09,69,0,1.99
2,Ushuaia,AR,2022-10-13 00:28:27,-54.8,-68.3,33.46,93,75,26.46
3,Loandjili,CG,2022-10-13 00:28:28,-4.7561,11.8578,77.11,88,75,8.05
4,Longyearbyen,SJ,2022-10-13 00:28:28,78.2186,15.6401,35.44,69,40,9.22
5,Busselton,AU,2022-10-13 00:28:28,-33.65,115.3333,52.84,66,11,3.22
6,Ribeira Grande,PT,2022-10-13 00:28:29,38.5167,-28.7,72.77,78,14,8.01
7,Sawakin,SD,2022-10-13 00:28:29,19.1059,37.3321,81.57,75,1,6.4
8,Lebu,CL,2022-10-13 00:28:29,-37.6167,-73.65,49.24,83,35,14.79
9,Kaitangata,NZ,2022-10-13 00:28:30,-46.2817,169.8464,54.23,52,80,6.89
10,Mataura,NZ,2022-10-13 00:28:30,-46.1927,168.8643,55.2,45,84,2.77
11,Kalabo,ZM,2022-10-13 00:28:30,-14.97,22.6814,71.62,31,56,5.84
12,Cape Town,ZA,2022-10-13 00:24:23,-33.9258,18.4232,63.27,89,75,11.5
13,Saint-Francois,FR,2022-10-13 00:28:31,46.4154,3.9054,51.24,100,100,2.3
14,Pangoa,PE,2022-10-13 00:28:31,-12.1167,-73.0,68.76,98,17,3.18
15,Walvis Bay,NA,2022-10-13 00:28:31,-22.9575,14.5053,58.08,90,38,10.02
16,Arraial Do Cabo,BR,2022-10-13 00:28:32,-22.9661,-42.0278,70.03,94,77,7.18
17,Kapaa,US,2022-10-13 00:28:32,22.0752,-159.319,84.18,91,100,11.5
18,Atuona,PF,2022-10-13 00:28:33,-9.8,-139.0333,77.41,76,38,18.97
19,Esperance,AU,2022-10-13 00:28:33,-33.8667,121.9,55.35,63,100,16.08
20,Barabinsk,RU,2022-10-13 00:28:33,55.3571,78.357,35.58,83,6,3.09
21,Ancud,CL,2022-10-13 00:28:34,-41.8697,-73.8203,42.73,65,26,10.29
22,Luderitz,NA,2022-10-13 00:28:34,-26.6481,15.1594,63.18,75,94,12.17
23,Thompson,CA,2022-10-13 00:28:34,55.7435,-97.8558,35.76,93,100,18.41
24,Hailar,CN,2022-10-13 00:28:35,49.2,119.7,39.67,52,0,6.82
25,Albany,US,2022-10-13 00:25:53,42.6001,-73.9662,61.66,67,100,1.99
26,Hermanus,ZA,2022-10-13 00:28:35,-34.4187,19.2345,64.8,92,100,5.48
27,Bredasdorp,ZA,2022-10-13 00:28:36,-34.5322,20.0403,62.69,93,99,2.01
28,Saint-Philippe,RE,2022-10-13 00:28:36,-21.3585,55.7679,67.59,79,30,10.29
29,Cidreira,BR,2022-10-13 00:28:36,-30.1811,-50.2056,61.97,86,81,6.89
30,Vanavara,RU,2022-10-13 00:28:37,60.34,102.2797,32.47,93,100,6.69
31,Klaksvik,FO,2022-10-13 00:28:37,62.2266,-6.589,45.52,71,86,20.09
32,Punta Arenas,CL,2022-10-13 00:28:37,-53.15,-70.9167,35.71,87,40,29.93
33,Pangnirtung,CA,2022-10-13 00:28:38,66.1451,-65.7125,16.25,74,4,4.12
